,Province/State,Country/Region,Lat,Long,Date,Min Temp (F),Max Temp (F),Wind Speed (Miles),Humidity,Pressure,Precip (Inches),Weather Code
223,"Passaic, NJ",US,40.86,-74.13,2020-03-23,36.0,40.0,12.0,88.0,1030.0,0.1,302.0
224,"Union, NJ",US,40.7,-74.26,2020-03-23,38.0,41.0,13.0,90.0,1030.0,0.1,302.0
225,"Eagle, CO",US,39.66,-106.83,2020-03-23,11.0,42.0,2.0,70.0,1013.0,0.0,323.0
226,"Larimer, CO",US,40.7,-105.59,2020-03-23,22.0,39.0,10.0,48.0,1012.0,0.0,116.0
227,"Arapahoe, CO",US,39.62,-104.33,2020-03-23,34.0,55.0,11.0,39.0,1012.0,0.0,116.0
228,"Gunnison, CO",US,38.55,-106.93,2020-03-23,19.0,38.0,2.0,53.0,1013.0,0.0,116.0
229,"Kane, IL",US,41.99,-88.4,2020-03-23,26.0,40.0,3.0,87.0,1023.0,0.0,122.0
230,"Monroe, PA",US,41.05,-75.25,2020-03-23,30.0,38.0,11.0,97.0,1028.0,0.1,302.0
231,"Philadelphia, PA",US,39.95,-75.17,2020-03-23,30.0,45.0,12.0,88.0,1027.0,0.1,302.0
232,"Norfolk, VA",US,36.85,-76.29,2020-03-23,49.0,60.0,10.0,95.0,1021.0,0.1,122.0
233,"Arlington, VA",US,38.88,-77.09,2020-03-23,42.0,50.0,8.0,93.0,1024.0,0.2,308.0
234,"Spotsylvania, VA",US,38.2,-77.61,2020-03-23,41.0,50.0,4.0,97.0,1023.0,0.1,302.0
235,"Loudoun, VA",US,39.08,-77.65,2020-03-23,40.0,47.0,9.0,95.0,1024.0,0.1,302.0
236,"Prince George's, MD",US,38.78,-76.87,2020-03-23,42.0,48.0,9.0,95.0,1024.0,0.2,302.0
237,"Pottawattamie, IA",US,41.39,-95.48,2020-03-23,35.0,49.0,7.0,77.0,1021.0,0.0,119.0
238,"Camden, NC",US,34.25,-80.61,2020-03-23,49.0,60.0,1.0,83.0,1024.0,0.0,176.0
239,"Pima, AZ",US,32.06,-111.67,2020-03-23,56.0,69.0,10.0,31.0,1019.0,0.0,113.0
240,"Noble, IN",US,41.43,-85.36,2020-03-23,32.0,39.0,8.0,97.0,1023.0,0.0,317.0
241,"Adams, IN",US,39.85,-77.29,2020-03-23,37.0,44.0,9.0,96.0,1025.0,0.1,296.0
242,"Boone, IN",US,40.01,-86.5,2020-03-23,35.0,43.0,7.0,91.0,1023.0,0.0,122.0
243,"Dane, WI",US,43.02,-89.55,2020-03-23,27.0,45.0,6.0,73.0,1023.0,0.0,122.0
244,"Pierce, WI",US,44.75,-92.38,2020-03-23,31.0,45.0,6.0,84.0,1021.0,0.0,248.0
245,"Cuyahoga, OH",US,41.43,-81.68,2020-03-23,30.0,41.0,10.0,95.0,1020.0,0.0,122.0
246,"Weber, UT",US,41.26,-111.95,2020-03-23,38.0,48.0,9.0,47.0,1011.0,0.0,353.0
